Gene_ID,Name,s_cas13d_alfa_alone_4h_1.CPM,s_cas13d_alfa_alone_4h_2.CPM,s_cas13d_alfa_alone_4h_3.CPM,s_cas13d_alfa_g2_4h_1.CPM,s_cas13d_alfa_g2_4h_2.CPM,s_cas13d_alfa_g2_4h_3.CPM,s_cas13d_alfa_g7_4h_1.CPM,s_cas13d_alfa_g7_4h_2.CPM,s_cas13d_alfa_g7_4h_3.CPM,s_cth1_5beta_oe_4h_1.CPM,s_cth1_5beta_oe_4h_2.CPM,s_cth1_5beta_oe_4h_3.CPM,s_cth1_full_oe_4h_1.CPM,s_cth1_full_oe_4h_2.CPM,s_cth1_full_oe_4h_3.CPM,s_cth1_orf_oe_4h_1.CPM,s_cth1_orf_oe_4h_2.CPM,s_cth1_orf_oe_4h_3.CPM,s_gfp_oe_4h_1.CPM,s_gfp_oe_4h_2.CPM,s_gfp_oe_4h_3.CPM,s_cas13d_alfa_alone_4h_1.TPM,s_cas13d_alfa_alone_4h_2.TPM,s_cas13d_alfa_alone_4h_3.TPM,s_cas13d_alfa_g2_4h_1.TPM,s_cas13d_alfa_g2_4h_2.TPM,s_cas13d_alfa_g2_4h_3.TPM,s_cas13d_alfa_g7_4h_1.TPM,s_cas13d_alfa_g7_4h_2.TPM,s_cas13d_alfa_g7_4h_3.TPM,s_cth1_5beta_oe_4h_1.TPM,s_cth1_5beta_oe_4h_2.TPM,s_cth1_5beta_oe_4h_3.TPM,s_cth1_full_oe_4h_1.TPM,s_cth1_full_oe_4h_2.TPM,s_cth1_full_oe_4h_3.TPM,s_cth1_orf_oe_4h_1.TPM,s_cth1_orf_oe_4h_2.TPM,s_cth1_orf_oe_4h_3.TPM,s_gfp_oe_4h_1.TPM,s_gfp_oe_4h_2.TPM,s_gfp_oe_4h_3.TPM,s_cas13d_alfa_g2_4h_VS_s_cas13d_alfa_alone_4h.logFC,s_cas13d_alfa_g2_4h_VS_s_cas13d_alfa_alone_4h.logCPM,s_cas13d_alfa_g2_4h_VS_s_cas13d_alfa_alone_4h.F,s_cas13d_alfa_g2_4h_VS_s_cas13d_alfa_alone_4h.PValue,s_cas13d_alfa_g2_4h_VS_s_cas13d_alfa_alone_4h.padj,s_cas13d_alfa_g7_4h_VS_s_cas13d_alfa_alone_4h.logFC,s_cas13d_alfa_g7_4h_VS_s_cas13d_alfa_alone_4h.logCPM,s_cas13d_alfa_g7_4h_VS_s_cas13d_alfa_alone_4h.F,s_cas13d_alfa_g7_4h_VS_s_cas13d_alfa_alone_4h.PValue,s_cas13d_alfa_g7_4h_VS_s_cas13d_alfa_alone_4h.padj,s_cth1_5beta_oe_4h_VS_s_gfp_oe_4h.logFC,s_cth1_5beta_oe_4h_VS_s_gfp_oe_4h.logCPM,s_cth1_5beta_oe_4h_VS_s_gfp_oe_4h.F,s_cth1_5beta_oe_4h_VS_s_gfp_oe_4h.PValue,s_cth1_5beta_oe_4h_VS_s_gfp_oe_4h.padj,s_cth1_full_oe_4h_VS_s_gfp_oe_4h.logFC,s_cth1_full_oe_4h_VS_s_gfp_oe_4h.logCPM,s_cth1_full_oe_4h_VS_s_gfp_oe_4h.F,s_cth1_full_oe_4h_VS_s_gfp_oe_4h.PValue,s_cth1_full_oe_4h_VS_s_gfp_oe_4h.padj,s_cth1_orf_oe_4h_VS_s_gfp_oe_4h.logFC,s_cth1_orf_oe_4h_VS_s_gfp_oe_4h.logCPM,s_cth1_orf_oe_4h_VS_s_gfp_oe_4h.F,s_cth1_orf_oe_4h_VS_s_gfp_oe_4h.PValue,s_cth1_orf_oe_4h_VS_s_gfp_oe_4h.padj
ENSDARG00000000001,slc35a5,8.59510237203842,8.30401453770698,7.75875446909836,13.5717946665931,13.1172272578855,13.9714396856327,10.6391540461698,13.1241668395199,11.8640186965611,8.68544409433438,9.31345153785562,6.63689054832276,7.08444445098531,7.7755776737885,7.80610447423787,8.4044977482674,7.66301825516026,6.68981671749393,8.09507204184446,7.7276638870982,7.23428461102174,5.84,6.23,5.71,8.99,8.38,9.25,6.56,9.88,8.04,4.95,5.98,4.09,4.01,5.03,3.03,4.87,4.71,4.32,4.73,4.85,4.69,0.720604408810206,3.26503862577438,29.9569271031299,0.0000191496187764027,0.000180204001047048,0.531410125620284,3.26503862577438,15.7029445617893,0.000699732256235651,0.00551315916804051,0.0952864543136249,3.26503862577438,0.383031858960659,0.542578722867947,0.87896956470905,-0.0212262639506927,3.26503862577438,0.0184934971525629,0.893111584974004,0.959664574656056,0.000814575825897443,3.26503862577438,0.0000283695338614334,0.995800045024157,0.998006573211166
ENSDARG00000000018,nrf1,220.868085196624,214.169210763547,216.506196137697,174.345362255465,178.956457589724,178.707414888047,198.285772113231,187.767685221553,190.573605588972,198.567221880817,197.245598641014,202.2039320389,200.206400184845,217.068210059929,205.612791851426,202.775183767721,215.522388426382,209.242600663838,193.269844999037,211.222812914018,200.107669240466,145.68,139.89,141.29,112.4,111.31,112.86,128.35,125.5,125.85,110.6,109.68,108.81,110.81,118.72,91.71,108.67,122.1,119.27,108.81,114.64,116.21,-0.292386893655433,7.65011651778936,25.2491096249492,0.0000550057560769238,0.000435575616142708,-0.176163946897546,7.65011651778936,9.21131477447902,0.00625036394961149,0.0317004394689801,-0.0162582297777185,7.65011651778936,0.077007069080101,0.784082678584494,0.954808519127877,0.0421950880934906,7.65011651778936,0.519973148934157,0.478729109363024,0.75486107700171,0.0531481055389331,7.65011651778936,0.82577513241115,0.373710533273637,0.686331058598495
ENSDARG00000000019,ube2h,235.193255816688,244.782518089124,250.620084835161,202.416937548761,196.172818365699,184.423003850352,207.638874571402,206.878314128222,223.792857939343,252.327125844025,248.635893733824,258.3962720147,252.631289122136,265.50357931957,219.195413636599,244.397458330569,256.43743232447,247.523218547276,242.177571918514,247.542833183379,250.502431530804,149.44,154.55,157.9,123.83,119.63,109.98,127.98,129.39,142.97,132.81,134.77,135.25,133.63,143.62,95.2,127.67,136.7,131.15,126.6,130.59,139.44,-0.32539329776326,7.87833893485699,22.9347156105319,0.0000964126929923322,0.000698257578472168,-0.195022170276566,7.87833893485699,8.28085932639017,0.00895222806985069,0.0422610898982088,0.0366801143482206,7.87833893485699,0.290986908128247,0.59520859679676,0.897239373866321,-0.00589962662900107,7.87833893485699,0.00752047214602713,0.93170728760339,0.974106447694253,0.0156190941089096,7.87833893485699,0.0527714374688479,0.820510632614834,0.937325247147458
ENSDARG00000000068,slc9a3r1a,65.5050983808383,62.8378413524991,58.8680100988733,73.1948926035919,77.8835368436954,73.2865518055461,72.4865440508272,80.3567408244291,70.4348057353736,55.7066414326274,60.5374349960615,51.6202598202882,52.7082667153307,52.9711229026842,83.3691957848605,67.903005616954,48.988580988346,53.1468772556463,63.411397661115,70.1929469744753,66.4573264266743,65.58,62.85,60.71,70.91,72.95,69.98,74.51,82.2,73.67,47.36,53.65,43.37,47.08,43.81,53.62,56.24,44.43,47.87,53.26,59.48,58.97,0.26158749865411,6.02739933780213,3.71664250904833,0.0673731242199525,0.152200777597695,0.254906542517284,6.02739933780213,3.53110723911506,0.0740435163557611,0.200124162831293,-0.256120153953208,6.02739933780213,3.31462762549061,0.0828101584441093,0.443510764895179,-0.0845643316079431,6.02739933780213,0.368252381782528,0.550401616501158,0.794662199008948,-0.232674014014712,6.02739933780213,2.75504254544269,0.111666819188132,0.393646913071682
ENSDARG00000000069,dap,59.2541148375376,51.9310759895406,60.8384874243586,73.4268890936192,92.406181307783,91.703449572971,79.2675433330014,79.205498119208,65.9389670714135,106.471564673651,103.944771627853,106.927681056311,106.975111209878,109.020078634576,184.536309770983,106.323566751891,93.8719736257132,97.1881706458147,103.718110536132,99.6868641435668,99.8086046334186,116.05,100.87,116.01,153.81,198.81,192.82,162.57,169.55,139.68,194.09,179.1,181.94,187.84,193.22,311.72,192.14,180.73,169.71,177.63,186.89,169.8,0.581580394717345,6.55428281849384,14.6046288825517,0.000980838457642259,0.00481879514094398,0.38444968732393,6.55428281849384,6.31807864310536,0.0200910283878125,0.0782637105338005,0.0665637315717696,6.55428281849384,0.200939587785668,0.65851046282176,0.915918066506505,0.4013195729147,6.55428281849384,7.4397046935044,0.0125450505792787,0.136202785191418,-0.0265853943450912,6.55428281849384,0.0319246987555581,0.859889211980116,0.952743653858969
ENSDARG00000000086,itsn1,81.9139301820025,80.0655730053538,78.2033188551977,49.9952436008687,35.7210206576347,39.5010703839252,49.8052705897619,48.4673178898061,59.0703246681413,57.9528769742656,71.1813796107537,54.2750160396173,73.5365334012275,70.3041814671711,23.4183134227136,50.8272006680933,73.7565507059175,83.251052484369,68.6394650214729,49.1994600811919,83.9912704838964,39.06,41.13,39.44,22.76,15.08,17.61,22.49,22.13,30.41,26.54,32.34,23.05,32.58,32.42,7.46,18.48,33.08,35.1,27.17,19.69,36.6,-0.938355580424653,5.93726814379952,12.4912146484959,0.00194465468128978,0.00850454362570191,-0.611149275058152,5.93726814379952,5.49601861025676,0.0288702652712858,0.102525851968235,-0.141369709626235,5.93726814379952,0.281716048825628,0.601094362978734,0.899614227357916,-0.268667201489634,5.93726814379952,1.00665177340786,0.327019522006466,0.639004135770936,0.0329197848200776,5.93726814379952,0.0155519309861934,0.901929953530734,0.966102777810626
ENSDARG00000000103,myh10,170.469530378762,154.801703844717,143.229070596213,143.837823816884,145.343562741392,156.607137567138,171.395602545988,154.036273958576,167.095337010514,129.083669126142,122.571674703564,121.676326719251,145.514489023238,145.630090181997,110.846683534178,121.798514986796,155.312959278695,162.599711883533,178.766174257399,143.734548300027,182.941570163465,44.81,41.41,36.79,36.27,34.2,38.92,41.57,38.94,42.59,28.04,27.16,26.06,31.27,31.01,18.86,25.16,34.68,36,38.73,29.68,41.34,-0.0716636533925515,7.2214114737942,0.400357106485673,0.533669757454424,0.693766262135374,0.0723175346459036,7.2214114737942,0.410108734746568,0.528774776022702,0.726538487472027,-0.436195895384965,7.2214114737942,14.3432496854191,0.00106479961640427,0.0398651827745438,-0.329244516501939,7.2214114737942,8.23415986800921,0.00911853650275748,0.118314708121387,-0.202849668289464,7.2214114737942,3.14818856396527,0.0903726522620113,0.353290841579752
ENSDARG00000000142,tmem267,5.99052589566314,5.70126371245554,5.5419674779274,7.0758929458306,7.14420413152695,7.36675910696997,9.00236111598983,7.3679533134147,5.99445155194669,4.4924710832764,4.15779086511412,5.01453952539942,5.95093333882766,5.99367445687864,5.77651731093603,5.86980795117088,5.33674485627233,3.53073660089958,5.73400936297316,6.18213110967856,6.86643963080029,9.46,9.4,9.11,11.86,11.37,10.82,13.18,11.73,10,5.23,7.07,6.47,8.81,7.64,5.7,8.25,7.27,6.41,9.63,10.57,9.62,0.324207930672408,2.66753352934202,3.66800922993422,0.0690567060563132,0.155221743502706,0.380219690345312,2.66753352934202,5.13324135384483,0.0340621851394203,0.115832104548469,-0.463167065363914,2.66753352934202,5.67476519844054,0.0266485929560321,0.256758012936702,-0.0935630809772993,2.66753352934202,0.258384964950261,0.616481437000413,0.830440441756698,-0.324588257668458,2.66753352934202,2.94860115665726,0.100529696943676,0.374026541491359
ENSDARG00000000151,thraa,37.2454436121665,32.2245340269226,35.5917466915782,31.43552439869,31.0362966369613,28.5779448115214,29.4622727432394,27.9751977368714,27.2248007984245,5.39096529993168,8.98082826864649,6.34191763506397,8.07626667412326,7.12761286763946,8.27447074269214,8.67130720059334,11.6313669944397,7.24730144395176,8.60101404445974,7.21248629462499,8.09258956487177,36.38,30.34,32.89,29.27,27.84,22.39,25.75,25.5,23.49,4.6,5.93,5.89,5.89,5.8,4.94,6.63,11.42,6.46,7.21,5.62,6.54,-0.204930344834645,4.21986187565203,2.99824661254664,0.0978823145701597,0.204213308772722,-0.310324138616419,4.21986187565203,6.78788800746255,0.016443847591573,0.0678827992550016,-0.211476648965767,4.21986187565203,1.23230492718329,0.27939181421512,0.711632840862974,-0.0166589239541115,4.21986187565203,0.0080884202406029,0.929182592026252,0.972776783309918,0.232194903387692,4.21986187565203,1.6936848867672,0.207081296172613,0.52870417563325
ENSDARG00000000161,itsn2a,1.56274588582517,0.495762061952655,0.985238662742649,1.15998245013616,0.702708603101011,1.27013088051206,1.51987914945283,1.38149124626526,0.999075258657781,1.79698843331056,1.66311634604565,1.17989165303516,1.70026666823647,1.29592961229808,0.780610447423787,1.0672378093038,0.684198058496452,2.0441106636787,1.51782600784584,1.15914958306473,1.10353494066433,0.89,0.19,0.32,0.54,0.31,0.87,0.63,0.85,0.62,1.07,0.94,0.3,1.11,1.13,0.2,0.36,0.1,1.19,0.53,0.94,0.36,0.0457194518589808,0.575307222493322,0.0114509858120221,0.915800916481526,0.984928628605903,0.371734480932121,0.575307222493322,0.8431873823839,0.368950149620408,0.582686633468868,0.313359672433788,0.575307222493322,0.603710786263134,0.445860774091749,0.831173243996492,0.0402476291840233,0.575307222493322,0.00915694124481222,0.924675749003035,0.971144794445553,-0.0523292466342032,0.575307222493322,0.0151887956304552,0.903090857757627,0.96658942831046
