Gene_ID,Name,s_cas13d_4h1.polyA,s_cas13d_4h2.polyA,s_cas13d_4h3.polyA,s_cas13d_alfa_alone_4h_1.polyA,s_cas13d_alfa_alone_4h_2.polyA,s_cas13d_alfa_alone_4h_3.polyA,s_cas13d_alfa_g2_4h_2.polyA,s_cas13d_alfa_g2_4h_3.polyA,s_cas13d_alfa_g7_4h_1.polyA,s_cas13d_alfa_g7_4h_2.polyA,s_cas13d_alfa_g7_4h_3.polyA,s_cas13d_pos_syn_g2_4h1.polyA,s_cas13d_pos_syn_g2_4h2.polyA,s_cas13d_pos_syn_g2_4h3.polyA,s_cas13d_pos_syn_g7_4h1.polyA,s_cas13d_pos_syn_g7_4h2.polyA,s_cas13d_pos_syn_g7_4h3.polyA,s_cas13d_4h1.ribo,s_cas13d_4h2.ribo,s_cas13d_4h3.ribo,s_cas13d_alfa_alone_4h_1.ribo,s_cas13d_alfa_alone_4h_2.ribo,s_cas13d_alfa_alone_4h_3.ribo,s_cas13d_alfa_g2_4h_2.ribo,s_cas13d_alfa_g2_4h_3.ribo,s_cas13d_alfa_g7_4h_1.ribo,s_cas13d_alfa_g7_4h_2.ribo,s_cas13d_alfa_g7_4h_3.ribo,s_cas13d_pos_syn_g2_4h1.ribo,s_cas13d_pos_syn_g2_4h2.ribo,s_cas13d_pos_syn_g2_4h3.ribo,s_cas13d_pos_syn_g7_4h1.ribo,s_cas13d_pos_syn_g7_4h2.ribo,s_cas13d_pos_syn_g7_4h3.ribo
ENSDARG00000000001,slc35a5,12.86,10.67,11.28,5.84,6.23,5.71,8.38,9.25,6.56,9.88,8.04,12.72,13.3,13.71,15,15.85,14.34,1.85,2.96,3.18,1.24,1.26,1.32,2.64,2.17,1.46,2.01,2.01,2.9,4.06,2.86,3.87,4.38,3.56
ENSDARG00000000002,ccdc80,0.19,0.23,0.26,0.23,0,0.21,0.28,0.73,0.3,0.8,0.65,1.4,0.55,1.2,0.98,1.04,1.23,0.12,0.31,0.29,0.06,0.03,0.06,0.17,0.18,0.21,0.17,0.12,0.44,0.48,0.34,0.17,0.4,0.37
ENSDARG00000000018,nrf1,139.35,145.04,150.5,145.68,139.89,141.29,111.31,112.86,128.35,125.5,125.85,119.96,126.81,118.37,122.24,127.38,123.38,21.84,31.3,32.97,25.45,27.24,25.47,26.9,22.62,20.95,21.27,23.99,27.18,34.49,30.4,29.82,35.16,35.44
ENSDARG00000000019,ube2h,167.55,171.95,163.85,149.44,154.55,157.9,119.63,109.98,127.98,129.39,142.97,148.06,170.37,159.21,160.74,160.85,175.13,17.18,23.26,25.53,20.69,22.81,19.02,19.37,17.98,18.19,15.35,19.66,20.8,28.02,25.08,26.42,29.37,29.15
ENSDARG00000000068,slc9a3r1a,79.01,78.89,82.26,65.58,62.85,60.71,72.95,69.98,74.51,82.2,73.67,84,93.34,89.47,81.93,88.34,85.33,10.64,14.79,17.34,9.94,11.19,9.69,14.1,13.26,10.94,10.47,12.63,14.79,19.49,17.34,18.66,19,18.17
ENSDARG00000000069,dap,115.15,117,127.88,116.05,100.87,116.01,198.81,192.82,162.57,169.55,139.68,130.53,148.62,146.84,110.68,112.93,129.57,20.57,30.93,28.81,14.93,13.22,12.27,19.73,20.24,17.48,16.32,14.66,28.71,22.22,26.97,22.96,31.29,21.43
ENSDARG00000000086,itsn1,35.6,34.92,38.3,39.06,41.13,39.44,15.08,17.61,22.49,22.13,30.41,29.02,32.98,31.58,29.54,34.68,31.81,10.61,15.78,17.95,13.06,13.98,11.58,14.58,12.16,10.58,12.18,14.03,15.54,18.44,17.63,15.89,19.49,21.42
ENSDARG00000000103,myh10,37.37,33.62,37.79,44.81,41.41,36.79,34.2,38.92,41.57,38.94,42.59,49.31,48.1,45.87,46.45,48.05,46.24,10.25,12.03,14.02,8.56,9.73,8.98,11.61,10.15,9.26,8.55,9.71,11.03,14.85,12.51,13.05,15.06,16.31
ENSDARG00000000142,tmem267,10.74,13.09,9.47,9.46,9.4,9.11,11.37,10.82,13.18,11.73,10,12.18,11.37,10.61,12.8,11.47,15.93,2.04,2.74,3.43,1.48,1.62,0.86,2.16,1.74,1.57,0.93,2.09,3.37,3.39,2.82,3.04,3.45,3.99
ENSDARG00000000151,thraa,29.92,27.85,24,36.38,30.34,32.89,27.84,22.39,25.75,25.5,23.49,24.5,22.28,25.73,26.64,24.21,23.59,6.35,9.19,7.99,6.95,6.11,4.61,4.69,5.47,4.2,4.45,7.18,7.02,8.55,8.17,7.35,7.72,9.21
ENSDARG00000000161,itsn2a,1.47,0.65,1.14,0.89,0.19,0.32,0.31,0.87,0.63,0.85,0.62,0.26,0.26,0.7,0.29,0.32,0.68,0.23,0.43,0.2,0.21,0.09,0.08,0.14,0.17,0.21,0.1,0.1,0.15,0.4,0.21,0.14,0.43,0.27
ENSDARG00000000175,hoxb2a,10.18,12.56,12.01,1.82,0.63,0.62,2.64,2.45,2.9,2.19,1.28,16.21,15.44,14.14,15.29,11.22,15.84,3.2,4.64,4.41,0.34,0.27,0.09,0.71,0.36,0.66,0.59,0.6,5.22,6.22,5.07,5.03,5.36,5.64
