LibraryID,SampleName,raw_file1,raw_file2,raw_file3,raw_file4
Cas13d_4h1_Ribo_depleted,Cas13d_4h1_Ribo_depleted,Cas13d_4h1_Ribo_depleted_L001_R1_001.fastq.gz,Cas13d_4h1_Ribo_depleted_L001_R2_001.fastq.gz,Cas13d_4h1_Ribo_depleted_L002_R1_001.fastq.gz,Cas13d_4h1_Ribo_depleted_L002_R2_001.fastq.gz
Cas13d_4h2_Ribo_depleted,Cas13d_4h2_Ribo_depleted,Cas13d_4h2_Ribo_depleted_L001_R1_001.fastq.gz,Cas13d_4h2_Ribo_depleted_L001_R2_001.fastq.gz,Cas13d_4h2_Ribo_depleted_L002_R1_001.fastq.gz,Cas13d_4h2_Ribo_depleted_L002_R2_001.fastq.gz
Cas13d_4h3_Ribo_depleted,Cas13d_4h3_Ribo_depleted,Cas13d_4h3_Ribo_depleted_L001_R1_001.fastq.gz,Cas13d_4h3_Ribo_depleted_L001_R2_001.fastq.gz,Cas13d_4h3_Ribo_depleted_L002_R1_001.fastq.gz,Cas13d_4h3_Ribo_depleted_L002_R2_001.fastq.gz
Cas13d_pos_syn_g2_4h1_Ribo_depleted,Cas13d_pos_syn_g2_4h1_Ribo_depleted,Cas13d_pos_syn_g2_4h1_Ribo_depleted_L001_R1_001.fastq.gz,Cas13d_pos_syn_g2_4h1_Ribo_depleted_L001_R2_001.fastq.gz,Cas13d_pos_syn_g2_4h1_Ribo_depleted_L002_R1_001.fastq.gz,Cas13d_pos_syn_g2_4h1_Ribo_depleted_L002_R2_001.fastq.gz
Cas13d_pos_syn_g2_4h2_Ribo_depleted,Cas13d_pos_syn_g2_4h2_Ribo_depleted,Cas13d_pos_syn_g2_4h2_Ribo_depleted_L001_R1_001.fastq.gz,Cas13d_pos_syn_g2_4h2_Ribo_depleted_L001_R2_001.fastq.gz,Cas13d_pos_syn_g2_4h2_Ribo_depleted_L002_R1_001.fastq.gz,Cas13d_pos_syn_g2_4h2_Ribo_depleted_L002_R2_001.fastq.gz
Cas13d_pos_syn_g2_4h3_Ribo_depleted,Cas13d_pos_syn_g2_4h3_Ribo_depleted,Cas13d_pos_syn_g2_4h3_Ribo_depleted_L001_R1_001.fastq.gz,Cas13d_pos_syn_g2_4h3_Ribo_depleted_L001_R2_001.fastq.gz,Cas13d_pos_syn_g2_4h3_Ribo_depleted_L002_R1_001.fastq.gz,Cas13d_pos_syn_g2_4h3_Ribo_depleted_L002_R2_001.fastq.gz
Cas13d_pos_syn_g7_4h1_Ribo_depleted,Cas13d_pos_syn_g7_4h1_Ribo_depleted,Cas13d_pos_syn_g7_4h1_Ribo_depleted_L001_R1_001.fastq.gz,Cas13d_pos_syn_g7_4h1_Ribo_depleted_L001_R2_001.fastq.gz,Cas13d_pos_syn_g7_4h1_Ribo_depleted_L002_R1_001.fastq.gz,Cas13d_pos_syn_g7_4h1_Ribo_depleted_L002_R2_001.fastq.gz
Cas13d_pos_syn_g7_4h2_Ribo_depleted,Cas13d_pos_syn_g7_4h2_Ribo_depleted,Cas13d_pos_syn_g7_4h2_Ribo_depleted_L001_R1_001.fastq.gz,Cas13d_pos_syn_g7_4h2_Ribo_depleted_L001_R2_001.fastq.gz,Cas13d_pos_syn_g7_4h2_Ribo_depleted_L002_R1_001.fastq.gz,Cas13d_pos_syn_g7_4h2_Ribo_depleted_L002_R2_001.fastq.gz
Cas13d_pos_syn_g7_4h3_Ribo_depleted,Cas13d_pos_syn_g7_4h3_Ribo_depleted,Cas13d_pos_syn_g7_4h3_Ribo_depleted_L001_R1_001.fastq.gz,Cas13d_pos_syn_g7_4h3_Ribo_depleted_L001_R2_001.fastq.gz,Cas13d_pos_syn_g7_4h3_Ribo_depleted_L002_R1_001.fastq.gz,Cas13d_pos_syn_g7_4h3_Ribo_depleted_L002_R2_001.fastq.gz
Cas13d_alfa_alone_4h_1_Ribo_depleted,Cas13d_alfa_alone_4h_1_Ribo_depleted,Cas13d_alfa_alone_4h_1_Ribo_depleted_L001_R1_001.fastq.gz,Cas13d_alfa_alone_4h_1_Ribo_depleted_L001_R2_001.fastq.gz,Cas13d_alfa_alone_4h_1_Ribo_depleted_L002_R1_001.fastq.gz,Cas13d_alfa_alone_4h_1_Ribo_depleted_L002_R2_001.fastq.gz
