Table 1: zebrafish RNA-seq time course during MZT. See the file README.docx for a detailed description of this table.
Gene_ID,Treatment_wt-0_hrs-RNAseq_ribo,Treatment_wt-1_hrs-RNAseq_ribo,Treatment_wt-2_hrs-RNAseq_ribo,Treatment_wt-3_hrs-RNAseq_ribo,Treatment_wt-4_hrs-RNAseq_ribo,Treatment_wt-5_hrs-RNAseq_ribo,Treatment_wt-6_hrs-RNAseq_ribo,Treatment_wt-7_hrs-RNAseq_ribo,Treatment_wt-8_hrs-RNAseq_ribo,Treatment_wt-0_hrs-RNAseq_polya,Treatment_wt-1_hrs-RNAseq_polya,Treatment_wt-2_hrs-RNAseq_polya,Treatment_wt-3_hrs-RNAseq_polya,Treatment_wt-4_hrs-RNAseq_polya,Treatment_wt-5_hrs-RNAseq_polya,Treatment_wt-6_hrs-RNAseq_polya,Treatment_wt-7_hrs-RNAseq_polya,Treatment_wt-8_hrs-RNAseq_polya,Treatment_aamanitin-2.5_hrs-RNAseq_polya,Treatment_aamanitin-2_hrs-RNAseq_polya,Treatment_aamanitin-3.5_hrs-RNAseq_polya,Treatment_aamanitin-3_hrs-RNAseq_polya,Treatment_aamanitin-4.5_hrs-RNAseq_polya,Treatment_aamanitin-4_hrs-RNAseq_polya,Treatment_aamanitin-5.5_hrs-RNAseq_polya,Treatment_aamanitin-5_hrs-RNAseq_polya,Treatment_aamanitin-6.5_hrs-RNAseq_polya,Treatment_aamanitin-6_hrs-RNAseq_polya,Treatment_aamanitin-7.5_hrs-RNAseq_polya,Treatment_aamanitin-7_hrs-RNAseq_polya
ENSDARG00000000001,12.02,12.47,12.06,11.44,7.45,4.39,1.16,1.41,1.65,2.54,2.59,8.41,10.84,10.05,3.96,1.6,2.02,2.57,9.19,7.04,9.95,11.13,7.89,9.31,2.58,4.64,2.35,2.25,0.99,1.32
ENSDARG00000000002,2.71,2.2,1.32,1.49,0.74,0.27,0.08,0.04,0.15,0.46,0.23,0.3,0.89,0.83,0.3,0.14,0.06,0.32,0.49,0.77,0.92,0.52,0.49,0.53,0.31,0.11,0.16,0.09,0.13,0.06
ENSDARG00000000018,105.91,87.21,91.52,92.97,84.53,66.9,38.95,52.29,51.07,14.29,10.72,37.98,75.58,89.25,72.79,49.49,58,57.37,61.5,38.06,101.91,105.11,119.73,127.57,113.36,119.87,119.27,131.26,99.57,128.66
ENSDARG00000000019,49.06,39.72,42.18,43.67,42.87,40.36,27.05,25.82,32.64,72.59,130.89,187.23,140.88,123.28,125.58,59.09,41.87,38.94,151.37,149.36,130.62,168.33,164.28,137.54,174.92,166.95,193.9,205.17,176.67,228.82
ENSDARG00000000068,52.57,48.97,47.76,45.65,39.68,28.3,27.81,24.52,18,10.32,28.96,64.85,62.52,67.65,51.65,42.4,35.15,21.16,72.98,63.49,68.38,80.85,66.79,71.12,59.66,61.5,82.77,71.22,62.74,83.32
ENSDARG00000000069,219.59,163.14,177.64,180.34,139.03,116.63,73.2,84.22,83.28,1639.2,1730.03,1216.01,668.43,466.09,566.19,414.84,307.18,338.31,1285.89,1732.69,920.6,874.34,502.66,812.88,312.07,446.8,307.19,323.67,284,313.2
ENSDARG00000000086,49.04,38.02,46.66,48.11,51.39,45.14,34.13,26.39,29.99,11.53,4.6,13.74,28.12,37.76,29.3,10.38,8.64,10.92,14.3,10.02,18.96,26.78,39.64,26.98,50.79,49.45,61.58,55.52,54.34,57.35
ENSDARG00000000103,20.68,16.44,19.01,21.47,23.76,20.75,17.44,14.58,22.23,10.23,9.34,20.94,27.16,43.18,40.19,29.64,22.61,24.26,28.57,22.79,40.63,35.41,48.28,45.15,46.99,44.98,54.76,50.32,47.51,57.09
ENSDARG00000000142,7.54,5.72,5.04,5.3,4.87,4.1,3.36,6.34,4.75,1.18,2.35,6.99,8.05,9.6,7.7,5.2,6.93,4.11,9.84,7.95,11.38,10,10.97,8.77,8.42,8.31,8.87,9.54,7.22,9.46
ENSDARG00000000151,30.92,24.46,24.39,25.67,26.81,9.37,2.41,1.22,3.78,3.74,4,15.43,27.23,24.28,6.24,0.68,0.92,1.91,27.41,20.08,49.37,42.93,43.71,49.81,20.82,30.53,15.63,15.98,9.71,13.4
