group,n_group,n_base,med_group,med_base,stat_W,p_value,effect_rank_biserial,p_adj,timepoint,baseline
c1,494,441,-1.60509952811765,-0.266428279355648,74520,0.0000000000000000702467341079847,-1.43832107741882,0.0000000000000000936623121439796,0hpf,g3
c2,498,441,-1.6724253072014,-0.266428279355648,74092,0.0000000000000000072325354804786,-1.45678405230901,0.0000000000000000144650709609572,0hpf,g3
c3,498,441,-1.55161724265742,-0.266428279355648,79698,0.000000000000388332386970439,-1.40573177061989,0.000000000000388332386970439,0hpf,g3
c4,497,441,-1.6291526335058,-0.266428279355648,71884,0.0000000000000000000868043189075946,-1.47330696195312,0.000000000000000000347217275630378,0hpf,g3
c1,494,441,-0.781937031383923,-0.308781292755589,95319,0.000963337103066146,-1.24737668346691,0.00192667420613229,1hpf,g3
c2,498,441,-0.727614631453573,-0.308781292755589,98095,0.00474142229776343,-1.23819541203362,0.00632189639701791,1hpf,g3
c3,498,441,-0.712075164288117,-0.308781292755589,101486,0.0447992996519245,-1.20731451884636,0.0447992996519245,1hpf,g3
c4,497,441,-0.855222633957544,-0.308781292755589,95891,0.000941687029493033,-1.2542420053199,0.00192667420613229,1hpf,g3
c1,494,441,0.28172990101899,-0.359883995866469,143754,0.0000000000000000295061791558348,-0.802721088435374,0.0000000000000000295061791558348,2hpf,g3
c2,498,441,0.378920030119662,-0.359883995866469,148556.5,0.00000000000000000000947052807674794,-0.778656576419055,0.0000000000000000000378821123069918,2hpf,g3
c3,498,441,0.320255674578141,-0.359883995866469,145681,0.00000000000000000521672999681402,-0.804842954584779,0.00000000000000000695563999575203,2hpf,g3
c4,497,441,0.282726058465267,-0.359883995866469,146207.5,0.000000000000000000938425227849002,-0.795101675814524,0.000000000000000001876850455698,2hpf,g3
c1,494,441,0.382745101036217,-0.511911827757498,179642,0.00000000000000000000000000000000000000000000000000000000000000000581550769585224,-0.473252728891827,0.00000000000000000000000000000000000000000000000000000000000000000581550769585224,3hpf,g3
c2,498,441,0.443957324490546,-0.511911827757498,184898,0.000000000000000000000000000000000000000000000000000000000000000000000000298230434031787,-0.447704650802758,0.00000000000000000000000000000000000000000000000000000000000000000000000119292173612715,3hpf,g3
c3,498,441,0.405819734604223,-0.511911827757498,181630,0.000000000000000000000000000000000000000000000000000000000000000000357867364204664,-0.477465417224453,0.000000000000000000000000000000000000000000000000000000000000000000477156485606219,3hpf,g3
c4,497,441,0.429634875491802,-0.511911827757498,182800,0.000000000000000000000000000000000000000000000000000000000000000000000617968248559461,-0.461193464642732,0.00000000000000000000000000000000000000000000000000000000000000000000123593649711892,3hpf,g3
c1,494,441,0.705117364599922,0.0541139109402337,167135,0.00000000000000000000000000000000000000000000284126255422076,-0.588072745967483,0.00000000000000000000000000000000000000000000378835007229435,4hpf,g3
c2,498,441,0.743268264545253,0.0541139109402337,171768,0.0000000000000000000000000000000000000000000000000186376016808574,-0.567275906346474,0.0000000000000000000000000000000000000000000000000745504067234295,4hpf,g3
c3,498,441,0.727586476232135,0.0541139109402337,168389,0.00000000000000000000000000000000000000000000272628358125023,-0.598047518873681,0.00000000000000000000000000000000000000000000378835007229435,4hpf,g3
c4,497,441,0.73014993273968,0.0541139109402337,167768,0.00000000000000000000000000000000000000000000788038046789,-0.598361141908138,0.00000000000000000000000000000000000000000000788038046789,4hpf,g3
