group,n_group,n_base,med_group,med_base,stat_W,p_value,effect_rank_biserial,p_adj,timepoint
c1,478,438,0.294429088252973,-0.155858828215626,152981,0.00000000000000000000000000000000143093841163585,-0.632219483769894,0.0000000000000000000000000000000028618768232717,3hpf/2hpf
c2,468,438,0.299673511102687,-0.155858828215626,149137,0.0000000000000000000000000000000214554865373273,-0.615667564297701,0.0000000000000000000000000000000286073153831031,3hpf/2hpf
c3,472,438,0.240902967809309,-0.155858828215626,147785,0.0000000000000000000000000000357656361081505,-0.650210896989397,0.0000000000000000000000000000357656361081505,3hpf/2hpf
c4,478,438,0.278920493443935,-0.155858828215626,153185,0.000000000000000000000000000000000768759177431,-0.630270724670908,0.0000000000000000000000000000000028618768232717,3hpf/2hpf
c1,478,438,0.167554065585554,-0.186198402277494,143976,0.0000000000000000000000890035859423916,-0.718241913605013,0.000000000000000000000178007171884783,4hpf/2hpf
c2,468,438,0.152286697022964,-0.186198402277494,137793,0.0000000000000000003012541565088,-0.726349373609648,0.0000000000000000003012541565088,4hpf/2hpf
c3,472,438,0.180980635012873,-0.186198402277494,139543,0.0000000000000000000677696697753382,-0.729945437659624,0.0000000000000000000903595597004509,4hpf/2hpf
c4,478,438,0.235029335031283,-0.186198402277494,145539,0.000000000000000000000001707986807843,-0.703310979920139,0.00000000000000000000000683194723137202,4hpf/2hpf
c1,478,438,0.154665863636941,-1.1160537462671,177759,0.0000000000000000000000000000000000000000000000000000000000000000000000000144099871331718,-0.395521675168606,0.000000000000000000000000000000000000000000000000000000000000000000000000057639948532687,5hpf/2hpf
c2,468,438,0.176239716789504,-1.1160537462671,172711.5,0.0000000000000000000000000000000000000000000000000000000000000000000000349069292648334,-0.385654490106545,0.0000000000000000000000000000000000000000000000000000000000000000000000349069292648334,5hpf/2hpf
c3,472,438,0.135618190158768,-1.1160537462671,174831,0.000000000000000000000000000000000000000000000000000000000000000000000000970601545341633,-0.388563191703429,0.00000000000000000000000000000000000000000000000000000000000000000000000129413539378884,5hpf/2hpf
c4,478,438,0.111716366092103,-1.1160537462671,176946,0.000000000000000000000000000000000000000000000000000000000000000000000000585134007262912,-0.403288053342504,0.00000000000000000000000000000000000000000000000000000000000000000000000117026801452582,5hpf/2hpf
c1,478,438,0.114272177598468,-1.5932281975883,175272,0.00000000000000000000000000000000000000000000000000000000000000000000105457215258164,-0.419279341243003,0.00000000000000000000000000000000000000000000000000000000000000000000421828861032657,6hpf/2hpf
c2,468,438,0.0487672603894522,-1.5932281975883,169312,0.000000000000000000000000000000000000000000000000000000000000000124054765340094,-0.418822932521563,0.000000000000000000000000000000000000000000000000000000000000000124054765340094,6hpf/2hpf
c3,472,438,-0.00467810163886044,-1.5932281975883,172232,0.000000000000000000000000000000000000000000000000000000000000000000111946047982158,-0.413706369476047,0.000000000000000000000000000000000000000000000000000000000000000000149261397309544,6hpf/2hpf
c4,478,438,0.0138891759592405,-1.5932281975883,174703,0.0000000000000000000000000000000000000000000000000000000000000000000129561496045071,-0.424714850690663,0.0000000000000000000000000000000000000000000000000000000000000000000259122992090142,6hpf/2hpf
