group,n_group,n_base,med_group,med_base,stat_W,p_value,effect_rank_biserial,p_adj,timepoint
c1,478,438,0.0365688536803854,-0.259326158825888,140878,0.000000000000000000144037576267781,-0.747836304235685,0.000000000000000000192050101690374,3hpf/2hpf
c2,468,438,0.0732272473483801,-0.259326158825888,138579,0.0000000000000000000482144477125143,-0.718680482379113,0.0000000000000000000964288954250287,3hpf/2hpf
c3,472,438,0.0593315732808298,-0.259326158825888,137975,0.00000000000000000242870529249702,-0.745114542218095,0.00000000000000000242870529249702,3hpf/2hpf
c4,478,438,0.0980524218799332,-0.259326158825888,143520,0.000000000000000000000274118373441664,-0.722597963355687,0.00000000000000000000109647349376665,3hpf/2hpf
c1,478,438,0.155737405852699,-0.382354566781355,149859,0.0000000000000000000000000000139675173498095,-0.662043140176917,0.0000000000000000000000000000336061745350401,4hpf/2hpf
c2,468,438,0.180868434301841,-0.382354566781355,145862,0.000000000000000000000000000312173356690958,-0.647621277758264,0.000000000000000000000000000416231142254611,4hpf/2hpf
c3,472,438,0.181515143015099,-0.382354566781355,145299,0.000000000000000000000000035320540743571,-0.674260893119728,0.000000000000000000000000035320540743571,4hpf/2hpf
c4,478,438,0.215785888613065,-0.382354566781355,149794,0.00000000000000000000000000001680308726752,-0.662664068321201,0.0000000000000000000000000000336061745350401,4hpf/2hpf
c1,478,438,-0.149293107310031,-1.05443313798551,151372,0.000000000000000000000000000000175596912147373,-0.647589843526108,0.000000000000000000000000000000234129216196497,5hpf/2hpf
c2,468,438,-0.107568719195521,-1.05443313798551,148324,0.000000000000000000000000000000247055389692368,-0.623599890723178,0.000000000000000000000000000000247055389692368,5hpf/2hpf
c3,472,438,-0.0827515732743817,-1.05443313798551,150368,0.0000000000000000000000000000000182929612013939,-0.625222505997988,0.0000000000000000000000000000000394546343114399,5hpf/2hpf
c4,478,438,-0.121262655745324,-1.05443313798551,152110,0.00000000000000000000000000000001972731715572,-0.640539920903307,0.0000000000000000000000000000000394546343114399,5hpf/2hpf
c1,478,438,-1.00395386672857,-1.64703814134898,125255,0.000000269951195290813,-0.897078771899658,0.000000269951195290813,6hpf/2hpf
c2,468,438,-0.736373561779959,-1.64703814134898,124471,0.000000023540299906549,-0.856330250165867,0.0000000470805998130979,6hpf/2hpf
c3,472,438,-0.789307247958163,-1.64703814134898,126378,0.00000000632035580795308,-0.857305936073059,0.0000000252814232318123,6hpf/2hpf
c4,478,438,-0.880437648608072,-1.64703814134898,126043,0.0000000927884219008177,-0.889551212242792,0.000000123717895867757,6hpf/2hpf
