group,n_group,n_base,med_group,med_base,stat_W,p_value,effect_rank_biserial,p_adj,timepoint,baseline
c1,478,438,0.000859376548565014,-0.118095774045222,156583.5,0.0000000000000000000000000000000000000168061184135733,-0.597805735465505,0.0000000000000000000000000000000000000672244736542933,3hpf/2hpf,g3
c2,468,438,-0.00399322396236561,-0.118095774045222,150318,0.000000000000000000000000000000000571649569160671,-0.604144713733755,0.000000000000000000000000000000000571649569160671,3hpf/2hpf,g3
c3,472,438,0.00156873597838555,-0.118095774045222,151765,0.000000000000000000000000000000000254609354172407,-0.611707685163687,0.000000000000000000000000000000000339479138896543,3hpf/2hpf,g3
c4,478,438,0.00190583225583113,-0.118095774045222,153927,0.0000000000000000000000000000000000785022889160874,-0.623182591085382,0.000000000000000000000000000000000157004577832175,3hpf/2hpf,g3
c1,478,438,-0.153031710372876,-0.742262001954863,191610,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100872972575269,-0.263206663991899,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000376663535850815,4hpf/2hpf,g3
c2,468,438,-0.149900536300224,-0.742262001954863,184828,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000369434769877509,-0.267435507161535,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000369434769877509,4hpf/2hpf,g3
c3,472,438,-0.132820675915699,-0.742262001954863,189352,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000188331767925408,-0.24808451358254,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000376663535850815,4hpf/2hpf,g3
c4,478,438,-0.146276382683609,-0.742262001954863,191394,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000326517454495928,-0.26527005597906,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000435356605994571,4hpf/2hpf,g3
c1,478,438,-0.537186973694816,-1.74100164020537,188044,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000183602390313023,-0.29727173726142,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000734409561252091,5hpf/2hpf,g3
c2,468,438,-0.505127926395828,-1.74100164020537,182213,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000331838933830947,-0.292949693634625,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000331838933830947,5hpf/2hpf,g3
c3,472,438,-0.525981077612695,-1.74100164020537,184888,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000439934519764969,-0.291270025539819,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000586579359686625,5hpf/2hpf,g3
c4,478,438,-0.554605949628361,-1.74100164020537,187311,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000830019217382266,-0.304273896180814,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000166003843476453,5hpf/2hpf,g3
c1,478,438,-1.18521304654538,-2.60588408718776,162042,0.000000000000000000000000000000000000000000000122403844696243,-0.545662100456621,0.000000000000000000000000000000000000000000000489615378784971,6hpf/2hpf,g3
c2,468,438,-1.08250732278321,-2.60588408718776,157619,0.000000000000000000000000000000000000000000014499603633299,-0.532909885649612,0.0000000000000000000000000000000000000000000193328048443986,6hpf/2hpf,g3
c3,472,438,-1.13840286205837,-2.60588408718776,159220,0.00000000000000000000000000000000000000000000390556939589498,-0.539586719294172,0.00000000000000000000000000000000000000000000781113879178996,6hpf/2hpf,g3
c4,478,438,-1.1774326128878,-2.60588408718776,159304,0.00000000000000000000000000000000000000000186315719263692,-0.571817504442024,0.00000000000000000000000000000000000000000186315719263692,6hpf/2hpf,g3
