group,n_group,n_base,med_group,med_base,stat_W,p_value,effect_rank_biserial,p_adj,timepoint
one site,419,4013,0.112110366321537,0.163197679513543,797242.5,0.0810553369107484,-0.156378405028526,0.131471488307559,4hpf/2hpf
2A 8mer,227,4013,0.0330503719458844,0.163197679513543,403523.5,0.0037868769631848,-0.17087636985963,0.0151475078527392,4hpf/2hpf
3A 8mer,322,4013,0.145765487546867,0.163197679513543,628335,0.41119163623104,-0.107973619896826,0.41119163623104,4hpf/2hpf
more than one site,90,4013,0.0481724464806517,0.163197679513543,162228,0.0986036162306689,-0.124329263227843,0.131471488307559,4hpf/2hpf
one site,419,4013,-0.292354979504015,0.0441922479817483,688676.5,0.00000000105633445434814,-0.285512418767883,0.00000000422533781739256,5hpf/2hpf
2A 8mer,227,4013,-0.298426660507857,0.0441922479817483,365583.5,0.000000544630506210953,-0.254173934712185,0.000000726174008281271,5hpf/2hpf
3A 8mer,322,4013,-0.272522588456391,0.0441922479817483,521817,0.00000000885391798973844,-0.272838430380766,0.0000000177078359794769,5hpf/2hpf
more than one site,90,4013,-0.27258810705813,0.0441922479817483,139614,0.000227449358275078,-0.24955561093114,0.000227449358275078,5hpf/2hpf
one site,419,4013,-0.517940269486771,-0.130198723126702,706068.5,0.0000000655988012430779,-0.264825474725043,0.000000198319247295461,6hpf/2hpf
2A 8mer,227,4013,-0.553702961640366,-0.130198723126702,372532.5,0.00000378964135327373,-0.238917351207694,0.00000505285513769831,6hpf/2hpf
3A 8mer,322,4013,-0.496616584010211,-0.130198723126702,530959,0.0000000991596236477304,-0.258688764620573,0.000000198319247295461,6hpf/2hpf
more than one site,90,4013,-0.489257937548704,-0.130198723126702,139924,0.000253689325095955,-0.247838967799097,0.000253689325095955,6hpf/2hpf
