group,n_group,n_base,med_group,med_base,stat_W,p_value,effect_rank_biserial,p_adj,timepoint
one site,419,4013,0.0219957766553378,0.130016280005676,771706.5,0.00561954695219353,-0.186752243751959,0.00561954695219353,4hpf/2hpf
2A 8mer,227,4013,-0.0290273555946309,0.130016280005676,387100.5,0.000138581790780255,-0.206933193991773,0.000373174464493204,4hpf/2hpf
3A 8mer,322,4013,0.0077796026594945,0.130016280005676,583809,0.00394639792157419,-0.176889395179951,0.00526186389543226,4hpf/2hpf
more than one site,90,4013,-0.131283976447424,0.130016280005676,139057,0.000186587232246602,-0.252640031010328,0.000373174464493204,4hpf/2hpf
one site,419,4013,-0.452031706761045,-0.212180146345162,762952.5,0.00180584486837358,-0.197164703972233,0.00180584486837358,5hpf/2hpf
2A 8mer,227,4013,-0.544001631669697,-0.212180146345162,380787.5,0.0000314747008893535,-0.22079343455356,0.0000473366496611172,5hpf/2hpf
3A 8mer,322,4013,-0.546098000934211,-0.212180146345162,556744,0.0000355024872458379,-0.218779649369363,0.0000473366496611172,5hpf/2hpf
more than one site,90,4013,-0.787310714422112,-0.212180146345162,125452,0.000000702567997815595,-0.327978514273057,0.00000281027199126238,5hpf/2hpf
one site,419,4013,-1.06166012334494,-0.97293274613598,808767,0.199775796810346,-0.142670568861225,0.199775796810346,6hpf/2hpf
2A 8mer,227,4013,-1.39988454064179,-0.97293274613598,408587,0.00897018879332515,-0.159759416258394,0.0119602517244335,6hpf/2hpf
3A 8mer,322,4013,-1.36599895721236,-0.97293274613598,582444,0.00322343935559597,-0.179002094125768,0.00644687871119193,6hpf/2hpf
more than one site,90,4013,-1.83789499182654,-0.97293274613598,134669,0.0000360662230628166,-0.276938837666473,0.000144264892251266,6hpf/2hpf
